title,type,director,cast,listed_in,description
Operation Proposal,TV Show,,"Seung-ho Yoo, Eun-bin Park, Kyung-pyo Go, Ye-won Kim, Hyun Jin Lee, Jin-joo Park","International TV Shows, Korean TV Shows, Romantic TV Shows","On Yi-seul's wedding day, her friend Baek-ho wishes he could turn back time to tell her he loves her. Soon he gets a chance to change everything."
Road to Yesterday,Movie,Ishaya Bako,"Genevieve Nnaji, Oris Erhuero, Majid Michel","Dramas, International Movies","Their marriage failing, Victoria and Izu try to reconnect during a road trip. But bringing long-repressed secrets to light threatens yet more discord."
Stealing History,Movie,"Ola Flyum, David Hebditch",Nicolas Hope,"Documentaries, International Movies","Journalists expose how smugglers, dealers, collectors and scholars promote plunder of ancient artifacts from war-torn Iraq, Afghanistan and Pakistan."
Suicide (Hitabdut),Movie,Benny Fredman,"Mali Levi, Rotem Keinan, Dror Keren, Igal Naor","International Movies, Thrillers","A failed businessman must kill himself to pay off a loan shark or his family will die, but a detective discovers the case turns on a shocking secret."
The Future of Water,TV Show,,,"Docuseries, International TV Shows, Science & Nature TV",A look at the deeply intertwined history of humanity and fresh water reveals looming challenges that could upend power structures around the world.
X: Past Is Present,Movie,"Hemant Gaba, Pratim D. Gupta, Sudhish Kamath, Nalan Kumarasamy, Anu Menon, Sandeep Mohan, Qaushiq Mukherjee, Rajshree Ojha, Raja Sen, Abhinav Shiv Tiwari, Suparn Verma","Anshuman Jha, Rajat Kapoor, Pooja Ruparel, Piaa Bajpai, Huma Qureshi, Usha Uthup, Radhika Apte, Swara Bhaskar","Dramas, Independent Movies, International Movies","When a middle-aged filmmaker meets an alluring stranger at a party, he's haunted by troubling memories of his past relationships."
You Carry Me,Movie,Ivona Juka,"Lana Baric, Vojislav Brajovic, Natasa Janjic, Goran Hajdukovic, Helena Beljan, Juraj Dabic, Natasa Dorcic, Sebastian Cavazza, Ana Begic, Krunoslav Saric","Dramas, International Movies","A soap opera producer, director and makeup artist each face wrenching family turmoil, from teen rebellion and marital infidelity to Alzheimer's."
Bulletproof 2,Movie,Don Michael Paul,"Faizon Love, Kirk Fox, Tony Todd, Pearl Thusi, Cassie Clare, Fiona Ramsey, Neels Clasen, Roxy Nel","Action & Adventure, Comedies",A special agent abruptly reunites with a criminal – once a former friend – when he attempts to use his identity to infiltrate and take down a cartel.
Speed Is My Need,Movie,Mark Sloper,,"Documentaries, Sports Movies","This daredevil documentary trails behind and into the minds of the biggest names in one of the world's most dangerous sports, superbike racing."
GODZILLA The Planet Eater,Movie,"Kobun Shizuno, Hiroyuki Seshita","Mamoru Miyano, Takahiro Sakurai, Kana Hanazawa, Tomokazu Sugita, Yuki Kaji, Junichi Suwabe, Reina Ueda, Ari Ozawa, Daisuke Ono, Kenta Miyake, Kenyu Horiuchi, Kazuya Nakai, Kazuhiro Yamaji","Action & Adventure, Anime Features, International Movies","With the earth alliance weakened, Haruo weighs siding with the Exif, whose death cult is summoning a monster that can destroy the world."
Next Enti?,Movie,Kunal Kohli,"Navdeep, Larissa Bonesi, Sarathbabu, Tamannaah Bhatia, Sundeep Kishan, Poonam Kaur","Comedies, Dramas, International Movies","Clashing views on intimacy lead a couple to go their separate ways to reflect on commitment and companionship, before suddenly crossing paths again."
Solo: A Star Wars Story,Movie,Ron Howard,"Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover, Joonas Suotamo, Thandie Newton, Phoebe Waller-Bridge, Paul Bettany","Action & Adventure, Children & Family Movies, Sci-Fi & Fantasy","A young Han Solo tries to settle an old score with the help of his new buddy Chewbacca, a crew of space smugglers and a cunning old friend."
Solo: A Star Wars Story (Spanish Version),Movie,Ron Howard,"Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover, Joonas Suotamo, Thandie Newton, Phoebe Waller-Bridge, Paul Bettany","Action & Adventure, Children & Family Movies, Sci-Fi & Fantasy","A young Han Solo tries to settle an old score with the help of his new buddy Chewbacca, a crew of space smugglers and a cunning old friend."
The Monster,Movie,Bryan Bertino,"Zoe Kazan, Ella Ballentine, Aaron Douglas, Christine Ebadi, Marc Hickox, Scott Speedman, Chris Webb","Horror Movies, Independent Movies",A troubled mother-daughter relationship faces the ultimate test when the duo’s broken-down car leaves them trapped within reach of a vicious creature.
Alien Contact: Outer Space,Movie,J. Michael Long,J. Michael Long,Documentaries,This fact-based account delves into humankind's efforts to gather signals from possible intelligent beings beyond the solar system.
The House Next Door,Movie,Milind Rau,"Siddharth, Andrea Jeremiah, Anisha Victor, Atul Kulkarni, Suresh, Prakash Belawadi","Horror Movies, International Movies, Thrillers","In this Hindi version of ""Aval,"" a young couple's relationship is shaken to its core when a mysterious and troubled family moves into the neighborhood."
Cheer,TV Show,,,"Docuseries, Reality TV, Teen TV Shows",This gripping docuseries follows the ups and downs of Navarro College's competitive cheer squad as they work to win a coveted national title.
Kurt & Courtney,Movie,Nick Broomfield,"Kurt Cobain, Courtney Love","Documentaries, Music & Musicals","This film charts Nirvana's Kurt Cobain's rise to fame, his drug-addled romance with Courtney Love and the conspiracy theories surrounding his death."
The Conjuring,Movie,James Wan,"Vera Farmiga, Patrick Wilson, Lili Taylor, Ron Livingston, Shanley Caswell, Hayley McFarland, Joey King, Mackenzie Foy, Kyla Deaver","Horror Movies, Thrillers","Based on true events, this spine-chiller tells the story of a New England family who begins having encounters with spirits in their farmhouse."
Tundukkan Playboy Itu,TV Show,,"Hafidz Roshdi, Uqasha Senrose, Alif Satar, Mawar Rashid","International TV Shows, Romantic TV Shows, TV Comedies","Under pressure from his parents to settle down, a pleasure-seeking playboy falls for a woman who's like nobody he's ever met."
Tom Segura: Mostly Stories,Movie,Jay Karas,Tom Segura,Stand-Up Comedy,"The bearded, bawdy and comically bitter Tom Segura gets real about body piercings, the ""Area 51"" of men's bodies, and the lie he told Mike Tyson."
A Ghost Story,Movie,David Lowery,"Casey Affleck, Rooney Mara, Liz Franke, Rob Zabrecky, Will Oldham, Sonia Acevedo","Dramas, Independent Movies","Following a fatal car crash, a man's spirit remains stuck in the home he shared with his wife as doors into the past and future begin to open."
"Live Twice, Love Once",Movie,Maria Ripoll,"Oscar Martínez, Inma Cuesta, Mafalda Carbonell, Nacho López, Isabel Requena, Aina Clotet, Antonio Valero, María Zamora, Hugo Balaguer, Valeria Schoneveld","Comedies, Dramas, International Movies","When Emilio (Oscar Martínez) is diagnosed with Alzheimer's disease, he and his family embark on a quest to reunite him with his childhood crush."
The Tourist,Movie,Florian Henckel von Donnersmarck,"Angelina Jolie, Johnny Depp, Paul Bettany, Timothy Dalton, Steven Berkoff, Rufus Sewell, Christian De Sica, Alessio Boni, Daniele Pecci, Giovanni Guidelli","Action & Adventure, Romantic Movies",An American tourist seeking solace for his shattered heart instead finds it in danger again after encountering a beautiful Interpol agent.
Catwalk: Tales from the Cat Show Circuit,Movie,"Aaron Hancox, Michael McNamara",,"Documentaries, International Movies","This fun, charming documentary follows the exploits of some very feline-friendly folks as they strive to get their kitties crowned Canada’s top cat."
Komola Rocket,Movie,Noor Imran Mithu,"Tauquir Ahmed, Mosharraf Karim, Joyraj, Samia Said, Dominic Gomez","Dramas, Independent Movies, International Movies","As the lives of rich and poor passengers aboard a steamship unfold, buried secrets, lustful affairs and selfish desires are exposed."
Pahuna,Movie,Paakhi Tyrewala,"Anmol Limbu, Ishika Gurung, Manju Chettri, Banita Lagun, Binod Pradhan, Mahindra Bajgai, Rupa Tamang, Saran Rai","Comedies, Dramas, International Movies","Fleeing unrest in their native Nepal, three young siblings separated from their parents must beat the odds to survive on their own in India."
Miss Sharon Jones!,Movie,Barbara Kopple,Sharon Jones,"Documentaries, Music & Musicals",This uplifting documentary follows R&B singer Sharon Jones's battle with pancreatic cancer while keeping her band intact for a return to the stage.
Under the Shadow,Movie,Babak Anvari,"Narges Rashidi, Avin Manshadi, Bobby Naderi, Ray Haratian, Arash Marandi, Hamidreza Djavdan, Soussan Farrokhnia, Bijan Daneshmand, Sajjad Delafrooz, Behi Djanati Atai","Horror Movies, International Movies, Thrillers","During the Iran-Iraq conflict, a Tehran woman caring for her daughter while her husband is at war is gradually convinced evil spirits are at work."
House of Z,Movie,Sandy Chronopoulos,Zac Posen,Documentaries,"Featuring archival footage and exclusive interviews, this documentary looks at the rise, fall and comeback of charismatic fashion designer Zac Posen."
Coin Heist,Movie,Emily Hagins,"Sasha Pieterse, Alexis G. Zall, Alex Saxon, Jay Walker, Mark Blum, Neal Huff, Michael Cyril Creighton, Blanche Baker, Connor Ratliff, Will Denton","Children & Family Movies, Dramas","When a crisis threatens to destroy their high school, four teens hatch a daring plan to raise $10 million. Step one? Breaking into the U.S. Mint."
Growing Up Coy,Movie,Eric Juhola,,"Documentaries, LGBTQ Movies","Filmmakers follow a Colorado family's highly public battle for the rights of their transgender daughter, Coy, in a landmark civil rights case."
LEGO: Marvel Super Heroes: Maximum Overload,Movie,Greg Richardson,"Troy Baker, Drake Bell, Fred Tatasciore, Dee Bradley Baker, Steve Blum, Adrian Pasdar, Greg Cipes, Chi McBride, Barry Dennen, Robin Atkin Downes",Children & Family Movies,Villainous Loki is amassing an army to conquer Earth! His antics are keeping Spider-Man and S.H.I.E.L.D. busy as they tackle a host of bad guys.
Rustom,Movie,Dharmendra Suresh Desai,"Akshay Kumar, Ileana D'Cruz, Arjan Bajwa, Esha Gupta, Pavan Malhotra, Parmeet Sethi, Sachin Khedekar, Anang Desai, Kumud Mishra, Brijendra Kala, Usha Nadkarni, Kanwaljeet Singh","Dramas, International Movies","A decorated naval officer kills his wife's lover, leading to a sensational trial and a national obsession over passion versus premeditated murder."
3 Heroines,Movie,Iman Brotoseno,"Reza Rahadian, Bunga Citra Lestari, Tara Basro, Chelsea Islan","Dramas, International Movies, Sports Movies",Three Indonesian women break records by becoming the first of their nation to medal in archery at the Seoul Olympics in the summer of 1988.
5 Cowok Jagoan,Movie,Anggy Umbara,"Ario Bayu, Arifin Putra, Dwi Sasono, Muhadkly Acho, Cornelio Sunny, Tika Bravani, Nirina Zubir, Ganindra Bimo, Verdi Solaiman","Action & Adventure, Comedies, International Movies",Yanto asks his friends to help save a girlfriend who was kidnapped by a mobster. Silly slapstick and campy crimefighting ensues.
Chaotic Love Poems,Movie,Garin Nugroho,"Chicco Jerikho, Pevita Pearce","Dramas, International Movies, Romantic Movies","Spanning the 1970s, ‘80s and ‘90s, this lyrical love story of two childhood neighbors plays out amidst a rapidly evolving Indonesia."
Love You... Love You Not,Movie,Sridhar Jetty,"Chelsea Islan, Hamish Daud, Miller Khan, Kemal Pahlevi, R.R. Melati Pinaring, Fico Fachriza, Reynold Hamzah, Rizka Dwi Septiana, Arkanda Saezario Wicaksono","Comedies, International Movies, Romantic Movies",A love triangle gets complicated when a female English tutor unknowingly gets between a hot-tempered guy and his off-to-the-United States girlfriend.
Mara,Movie,Clive Tonge,"Olga Kurylenko, Javier Botet, Mitch Eakins, Lance E. Nichols, Rosie Fellner, Mackenzie Imsand, Dandy Barrett, Craig Conway, Melissa Bolona","Horror Movies, Thrillers","When criminal psychologist Kate Fuller investigates a man who was seemingly murdered in his sleep by his wife, she uncovers a case like no other."
Nang Nak,Movie,Nonzee Nimibutr,"Inthira Charoenpura, Winai Kraibutr","Horror Movies, International Movies, Romantic Movies","In this adaptation of a Thai folk tale, a man returns from war to his family, unaware of a sad secret about what happened to them while he was away."
Soekarno,Movie,Hanung Bramantyo,"Ario Bayu, Lukman Sardi, Maudy Koesnaedi, Tanta Ginting, Tika Bravani, Emir Mahira, Sujiwo Tedjo, Ayu Laksmi, Matias Muchus","Dramas, International Movies",This biographical drama about Indonesia's first president recounts his nationalist crusade to seize independence from Dutch colonial rule.
Before I Wake,Movie,Mike Flanagan,"Kate Bosworth, Thomas Jane, Jacob Tremblay, Annabeth Gish, Dash Mihok, Jay Karnes, Lance E. Nichols","Horror Movies, Thrillers","Still mourning the death of their son, Mark and Jessie welcome foster child Cody into their lives. Soon they discover he has a strange ability."
Devilman Crybaby,TV Show,Masaaki Yuasa,"Kouki Uchiyama, Ayumu Murase, Megumi Han, Ami Koshimizu, Atsuko Tanaka, Rikiya Koyama, Avu-chan, Kenjiro Tsuda, KEN THE 390, Subaru Kimura, Young Dais, Hannya, AFRA","Anime Series, International TV Shows, TV Horror","With demons reawakened and humanity in turmoil, a sensitive demon-boy is led into a brutal, degenerate war against evil by his mysterious friend, Ryo."
Don Quixote: The Ingenious Gentleman of La Mancha,Movie,"Mahin Ibrahim, Austin Kolodney, Will Lowell, David Beier, Dave Dorsey, Xu Zhang, Alana Waksman, Jon YonKondy, Drue Metz, Brandon Somerhalder","Carmen Argenziano, Horatio Sanz, Luis Guzman, Vera Cherny, Lorena McGregor, Reinaldo Zavarce, Jacquie Barnbrook, Anthony Skordi, Lin Shaye, James Franco","Comedies, Independent Movies","In this modern adaptation of a Spanish classic, an eccentric, elderly gentleman sets out with his honest sidekick to right the wrongs of the world."
Back and Forth,Movie,José Eduardo Belmonte,"Ingrid Guimarães, Fábio Assunção, Alice Braga, Rosanne Mulholland, Caroline Abras, João Assunção","Comedies, Dramas, International Movies","When their car breaks down en route to São Paulo, a father and son accept a ride from four beautiful telemarketers who are headed there on holiday."
Kraftidioten,Movie,Hans Petter Moland,"Stellan Skarsgård, Pål Sverre Hagen, Bruno Ganz, Hildegun Riise, Peter Andersson, Birgitte Hjort Sørensen, Jakob Oftebro, Anders Baasmo Christiansen, Jon Øigarden, Gard B. Eidsvold, Kristofer Hivju, Birgitte Hjort Sorensen, Stellan Skarsgard","Comedies, International Movies, Thrillers","When he sets out to avenge his son's murder, mild-mannered snowplow driver Nils sparks a war between a Norwegian mobster and his Serbian rival."
Rampage: President Down,Movie,Uwe Boll,"Brendan Fletcher, Steve Baran, Ryan McDonell, Scott Patey, Loretta Walsh, Zain Meghji, Crystal Lowe","Action & Adventure, International Movies","Lone-wolf vigilante Bill Williamson is back, taking aim at the U.S. government and eluding the pursuit of two FBI agents who are on his trail."
Dracula,TV Show,,"Claes Bang, Dolly Wells, John Heffernan","British TV Shows, International TV Shows, TV Dramas",The Count Dracula legend transforms with new tales that flesh out the vampire's gory crimes – and bring his vulnerability into the light.
Go! Go! Cory Carson,TV Show,,"Alan C. Lim, Paul Killam, Maisie Benson, Kerry Gudjohnsen, Smith Foreman, Neena-Sinaii Simpo, Eli Morse, Adelaide Hirasaki, Jim Capobianco, Anna Chambers, Pfifer Chastain",Kids' TV,"Beep, beep – go, go! Buckle up for fun and adventure with adorable kid car Cory Carson as he explores the winding roads of Bumperton Hills."
And Breathe Normally,Movie,Ísold Uggadóttir,"Kristín Thóra Haraldsdóttir, Babetida Sadjo, Patrik Nökkvi Pétursson","Dramas, Independent Movies, International Movies",An Icelandic single mom struggling with poverty and a Guinea-Bissauan asylum seeker facing deportation find their lives intertwined in unexpected ways.
Case Closed,TV Show,,"Minami Takayama, Alison Retzloff, Wakana Yamazaki, Colleen Clinkenbeard, Akira Kamiya, R. Bruce Elliott, Wataru Takagi, Chafurin, Mark Stoddard","Anime Series, Crime TV Shows, TV Thrillers","Turned into a young boy by a sinister potion, teen sleuth Conan helps solve baffling crimes while tracking down the nefarious agents who poisoned him."
El Potro: Unstoppable,Movie,Lorena Munoz,"Jimena Barón, Rodrigo Romero, Diego Cremonesi, Daniel Aráoz, Malena Sánchez, Julieta Vallina, Florencia Peña, Simja Dujov, Adan Otero, Fernán Mirás","Dramas, International Movies, Music & Musicals","Argentine cuarteto singer Rodrigo ""El Potro"" Bueno rises to fame amid personal struggles in this dramatization of the charismatic superstar's life."
Lionheart,Movie,Genevieve Nnaji,"Genevieve Nnaji, Nkem Owoh, Pete Edochie, Onyeka Onwenu, Kanayo O. Kanayo","Comedies, Dramas, Independent Movies","When her father falls ill, Adaeze steps up to run the family business – alongside her uncle – and prove herself in a male-dominated world."
See You in Time,TV Show,,"Hans Chung, Mini Tsai, Albee Huang, David Chiu, Johnny Yang, Kuan Lin, Ray Yang, Liu Yu Shan","International TV Shows, Romantic TV Shows, TV Dramas",A series of mysterious text messages from the future sends ripples through the lives of a delivery woman and an accomplished cyclist.
Marvel's Hulk: Where Monsters Dwell,Movie,Mitch Schauer,"Fred Tatasciore, Liam O'Brien, Jesse Burch, Edward Bosco, Chiara Zanni, Mike Vaughn, Jon Olson, Matthew Waterson, Zach Callison, Laura Bailey, Hope Levy","Children & Family Movies, Sci-Fi & Fantasy","On Halloween, the Hulk and Dr. Strange battle monsters wreaking havoc on New York and uncover an evil plot by Nightmare, ruler of the Dream Dimension."
Agatha and the Truth of Murder,Movie,Terry Loane,"Ruth Bradley, Pippa Haywood, Dean Andrews, Bebe Cave, Blake Harrison, Tim McInnerny, Ralph Ineson, Michael McElhatton",Dramas,"In a dramatized depiction of her 11-day disappearance, novelist Agatha Christie solving a real murder amid a crisis in her writing and marriage."
Crime Time,TV Show,,"Augusto Madeira, Érico Brás, Gustavo Machado, Dionisio Neto, Fernanda Vianna, Georgina Castro, Leo Miranda, Marat Descartes, Mauricio Tarcinalli Barros, Sabrina Greve, Sérgio Malheiros","Crime TV Shows, International TV Shows, TV Action & Adventure","Born into poverty and trapped in a grim job as a cop in the favelas, a wannabe actor forges a bloody path to celebrity and wealth. Based on true events."
Hantu Kak Limah,Movie,Mamat Khalid,"Awie, Arab Khalid, Sharwani Ns, Tj Isa, Delimawati, Zul Ariffin, Uqasha Senrose, Ropie Cecupak","Comedies, Horror Movies, International Movies","When Kak Limah turns up dead shortly after her marriage to a much younger man, her pesky ghost haunts the villagers, who can't seem to get rid of her."
I Dream Of Dance,Movie,Maria Demeshkina Peek,,"Children & Family Movies, Documentaries",Experience the joy and sacrifice of one of the nation's premier dance companies as its members and instructors prepare for a prestigious competition.
Love Off the Cuff,Movie,Pang Ho-cheung,"Miriam Chin Wah Yeung, Shawn Yue, Paul Chun, Jiang Mengjie, Wang Xiao Chen, Siu Yam Yam, Kwok Cheung Tsang, Toby Lee, Dada Chan, Hugo Ng","Comedies, Dramas, International Movies",Cherie and Jimmy's relationship is in a rut – until Cherie's estranged father shows up and a woman from Jimmy's past shows up with a hidden agenda.
Paprika,TV Show,,"Kaycie Chase, David Gasman, Tom Morton, Lee Delong, Barbara Weber-Scaff",Kids' TV,Stan and Olivia – the amazingly different Paprika twins – use their boundless enthusiasm to turn everyday life into an extraordinary adventure.
The Gentleman Driver,Movie,Mario Mattei,,"Documentaries, Sports Movies","This documentary follows four tycoons who moonlight as motorsport competitors and examines what fuels them to succeed, both at work and on the track."
The Hundred-Foot Journey,Movie,Lasse Hallström,"Helen Mirren, Om Puri, Manish Dayal, Charlotte Le Bon, Amit Shah, Farzana Dua Elahe, Dillon Mitra, Aria Pandya","Comedies, Dramas","A chef and his family leave India to open an eatery in the south of France, where they clash with the haughty restaurateur across the street."
Expedition Happiness,Movie,Selima Taibi,"Selima Taibi, Felix Starck","Documentaries, International Movies","A filmmaker and his musician girlfriend attempt an epic road trip with their dog, traveling across North America in a refurbished school bus."
Bill Burr: Walk Your Way Out,Movie,Jay Karas,Bill Burr,Stand-Up Comedy,"No-nonsense comic Bill Burr takes the stage in Nashville and riffs on fast food, overpopulation, dictators and gorilla sign language."
Semana Santa,Movie,Alejandra Márquez Abella,"Tenoch Huerta, Anajosé Aldrete, Esteban Ávila, David Thornton, Jimena Cuarón, Lakshmi Picazo","Dramas, International Movies","A single mother, her boyfriend and her 8-year-old son take a weeklong resort vacation, during which secrets and relationship strains take their toll."
Maharaja: The Story of Ranjit Singh,Movie,Amarjit Virdi,"Gurpreet Guggi, Rocky Bhardwaj, Brijesh Ahuja, Gick Grewal, Inderjit Grewal, Lekhraj Thakur","Dramas, International Movies","The tale of legendary warrior king Ranjit Singh, and his rise to establishing Punjab’s Sikh empire, comes to life in this animated feature."
Sat Sri Akal,Movie,Kamal Sahani,"Kimi Verma, Manpreet Singh, Arun Bali, Dolly Minhas, Avtar Gill, Manmeet Singh, Neelu Kohli, Vivek Shaq, Nirmal Rishi, Pooja Tandon","Dramas, Faith & Spirituality, International Movies","Based on true events, this moving story centers on a Punjabi family whose celebration of their faith endures in the face of conflicting attitudes."
Swiss Army Man,Movie,"Dan Kwan, Daniel Scheinert","Paul Dano, Daniel Radcliffe, Mary Elizabeth Winstead, Antonia Ribero, Timothy Eulich, Richard Gross, Marika Casteel, Andy Hull, Aaron Marshall, Shane Carruth","Comedies, Dramas, Independent Movies",A washed-up corpse with surprising abilities gives a hopeless man stranded in the wilderness someone to talk to – and a newfound reason to live.
The Incredibles 2,Movie,Brad Bird,"Craig T. Nelson, Holly Hunter, Samuel L. Jackson, Sarah Vowell, Huck Milner, Catherine Keener, Bob Odenkirk, Sophia Bush, Brad Bird, John Ratzenberger","Children & Family Movies, Comedies","When Elastigirl gets recruited for a high-profile crime-fighting mission, Mr. Incredible takes on his toughest assignment ever: full-time parenting."
The Longshots,Movie,Fred Durst,"Ice Cube, Keke Palmer, Tasha Smith, Jill Marie Jones, Dash Mihok, Matt Craven, Glenn Plummer, Garrett Morris, Miles Chandler, Malcolm Goodwin","Comedies, Dramas, Sports Movies","When an 11-year-old girl becomes Pop Warner football's first female quarterback, she raises eyebrows – till she takes her team to the brink of glory."
Virsa,Movie,Pankaj Batra,"Arya Babbar, Kanwaljeet Singh, Gulshan Grover, Mehreen Raheel, Aparna Sharma, Aman Dhaliwal, Noman Ijaz","Dramas, International Movies, Music & Musicals",A man is disheartened when he visits his well-to-do son and grandkids in Australia and sees they have detached from their traditional Indian morals.
Jerry Seinfeld: I'm Telling You for the Last Time,Movie,Marty Callner,Jerry Seinfeld,Stand-Up Comedy,"Months after his classic TV sitcom ends, the legendary comic returns to his stand-up roots to deliver his best jokes on a sold-out international tour."
Monster High: Freaky Fusion,Movie,"William Lau, Sylvain Blais","Cam Clarke, Audu Paden, Laura Bailey, Cindy Robinson, Erin Fitzgerald, Kate Higgins, Salli Saffioti, Sue Swan, Haviland Stillwell, Paula Rhodes, America Young, Stephanie Sheh, Josey Montana McCoy",Children & Family Movies,"When Frankie Stein travels back in time, a teen scientist follows her home into the present and causes a lab accident that creates four new monsters."
Retribution,TV Show,,"Georgina Campbell, Joe Dempsie, Adrian Edmondson, Steve Evets, Laura Fraser, Julie Graham, John Lynch, Gary Lewis, Juliet Stevenson, Joanna Vanderham","British TV Shows, Crime TV Shows, International TV Shows",A dark web of secrets and lies emerges when a newlywed couple is killed and detectives question their feuding families.
The Lady in Dignity,TV Show,,"Hee-seon Kim, Seon-a Kim, Sang-hun Jeong, Tae-im Lee, Ki-woo Lee","International TV Shows, Korean TV Shows, TV Dramas",The wife of a corporate heir finds her luxurious life overturned by a mysterious woman who joins the household as a caregiver for her father-in-law.
All the Freckles in the World,Movie,Yibrán Asuad,"Hánssel Casillas, Loreto Peralta, Andrea Sutton, Luis De La Rosa, Alejandro Flores, Anajosé Aldrete, Daniel Haddad, Montserrat Marañón, Juan Carlos Viana Prieto, Hernán Del Riego","Comedies, International Movies, Romantic Movies",Thirteen-year-old José Miguel is immune to 1994 World Cup fever until he realizes soccer is the only way to win the heart of his crush.
Deewangee,Movie,Anees Bazmee,"Ajay Devgn, Akshaye Khanna, Urmila Matondkar, Farida Jalal, Vijayendra Ghatge","International Movies, Thrillers","Hired by a singer to defend her friend, who has been accused of murder, a formidable lawyer learns that the man he represents may not be innocent."
Ferris Bueller's Day Off,Movie,John Hughes,"Matthew Broderick, Alan Ruck, Mia Sara, Jeffrey Jones, Jennifer Grey, Cindy Pickett, Lyman Ward, Edie McClurg, Charlie Sheen, Kristy Swanson, Ben Stein, Del Close","Classic Movies, Comedies, Cult Movies","Ferris convinces his entire school he's at death's door, then hits the streets of Chicago with his girlfriend and best friend for a day of fun."
Occupation,Movie,Luke Sparke,"Daniel Ewing, Temuera Morrison, Stephanie Jacobsen, Rhiannon Fish, Zachary Garred, Izzy Stephens, Charles Terrier, Charles Mesure, Felix Williamson, Jacqueline McKenzie, Aaron Jeffery, Bruce Spence","Action & Adventure, Sci-Fi & Fantasy","When aliens take over their small Australian town, a modest group of survivors must unite to fend off their otherworldly intruders."
Pope Francis: A Man of His Word,Movie,Wim Wenders,Pope Francis,"Documentaries, Faith & Spirituality, International Movies","Documentary filmmaker Wim Wenders travels the world with Pope Francis, recording the controversial pontiff's humanist views in a sharply divided age."
Jen Kirkman: Just Keep Livin’?,Movie,Lance Bangs,Jen Kirkman,Stand-Up Comedy,"Incisive comic Jen Kirkman gets real about women's bodies, the value of alone time and an Italian private tour guide who may have been a ghost."
Ant-Man and the Wasp,Movie,Peyton Reed,"Paul Rudd, Evangeline Lilly, Michael Douglas, Michael Peña, Hannah John-Kamen, Laurence Fishburne, Michelle Pfeiffer, Walton Goggins, T.I., Judy Greer, Bobby Cannavale, David Dastmalchian, Abby Ryder Fortson, Randall Park","Action & Adventure, Comedies, Sci-Fi & Fantasy","Problems big and small pop up when Scott Lang, aka Ant-Man, gets drafted by Dr. Hank Pym and Hope van Dyne, aka the Wasp, for an urgent rescue mission."
Bhasmasur,Movie,Nishil Sheth,"Imran Rasheed, Mittal Chouhan, Trimala Adhikari, Bhushan Vikas, Ravi Goswami, Raghav Dutt, Kumkum Chouhan, Rohan Mobarsa","Dramas, Independent Movies, International Movies","In this heart-wrenching coming-of-age story, a young boy embarks on an arduous trek with his debt-ridden father to sell their beloved family donkey."
"Gabriel ""Fluffy"" Iglesias: One Show Fits All",Movie,Manny Rodriguez,Gabriel Iglesias,Stand-Up Comedy,"Gabriel ""Fluffy"" Iglesias discusses his teenage son and encounters with Snoop Dogg, Chris Rock and Vicente Fernández in this stand-up special for 2019."
High Society,Movie,Byun Hyuk,"Park Hae-il, Su Ae, Yoon Je-moon, Ra Mi-ran, Lee Jin-wook, Kim Gyu-sun, Han Ju-yeong, Kim Hae-gon, Nam Moon-cheol, Jang So-yeon","Dramas, International Movies","A deputy curator of a chaebol-funded art gallery and her husband, a politically ambitious economics professor, will do anything to join the über-elite."
Inside the Mossad,TV Show,,,"Docuseries, International TV Shows","In this documentary, dozens of former agents from the Mossad, Israel's foreign intelligence agency, reveal their top-secret operations."
Up Among  The Stars,Movie,Zoe Berriatúa,"Luis Callejo, Jorge Andreu, Macarena Gómez, Magüi Mira, Álvaro Roig, María Morales, José Luis García Pérez, Kiti Mánver, Ingrid García Jonsson, Liz Lobato","Dramas, International Movies, Sci-Fi & Fantasy","A grieving filmmaker struggling to keep custody of his young son after his wife's death uses magical, imaginary stories to maintain their bond."
Holy Camp!,Movie,"Javier Ambrossi, Javier Calvo","Macarena García, Anna Castillo, Belén Cuesta, Gracia Olayo, Richard Collins-Moore, Llum Barrera, Secun de la Rosa, María Isabel Díaz, Víctor Elías, Henry Méndez, Esti Quesada","Comedies, Dramas, Faith & Spirituality","In this musical comedy, two rebellious teen girls who love electronic music have a life-changing brush with the divine at a camp run by nuns."
Hostages,Movie,Federico Lemos,,"Documentaries, International Movies","Witnesses recount the shocking 1996 hostage crisis in Lima, Peru, where rebels held scores of high-level figures captive at an ambassador's residence."
Patient Seventeen,Movie,Jeremy Kenyon Lockyer Corbell,,Documentaries,A surgeon claims to remove high tech microchips that aliens used to manipulate the human race. This documentary seeks to separate fact from fiction.
The Force,Movie,Peter Nicks,,Documentaries,"This documentary follows the police of Oakland, California, as they reform and face the challenges of corruption, commitment and cataclysmic change."
Journey to Greenland,Movie,Sébastien Betbeder,"Thomas Blanchard, Thomas Scimeca, François Chattot, Ole Eliassen, Adam Eskilden","Comedies, International Movies","When they flee Paris for a remote village in Greenland, two part-time actors become immersed in the archaic Inuit culture and forge unexpected bonds."
Alt-Right: Age of Rage,Movie,Adam Bhala Lough,"Daryle Lamont Jenkins, Richard Spencer",Documentaries,This documentary follows a white power leader and an Antifa activist leading up to the Charlottesville riots in the first year of Trump's presidency.
